index,date,address,block,street,trap,addressnumberandstreet,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,year,month,day,tmax_x,tmin_x,tavg_x,depart_x,dewpoint_x,wetbulb_x,heat_x,cool_x,sunrise_x,sunset_x,codesum_x,depth_x,water1_x,snowfall_x,preciptotal_x,stnpressure_x,sealevel_x,resultspeed_x,resultdir_x,avgspeed_x,tmax_y,tmin_y,tavg_y,depart_y,dewpoint_y,wetbulb_y,heat_y,cool_y,sunrise_y,sunset_y,codesum_y,depth_y,water1_y,snowfall_y,preciptotal_y,stnpressure_y,sealevel_y,resultspeed_y,resultdir_y,avgspeed_y,species_culex_pipiens,species_culex_pipiens/restuans,species_culex_restuans,species_culex_salinarius,species_culex_tarsalis,species_culex_territans,distance,distance_3,distance_5
0,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,2,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,1.0508392712200008,1.1177968160630678,1.1768547032095515
1,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,2,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,1.0508392712200008,1.1177968160630678,1.1768547032095515
2,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",62, N MANDELL AVE,7,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,1.0214934818501615,1.0214934818501615,1.0506806506158295
3,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0.822409717265726,0.822409717265726,1.2180776914598939
4,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,15,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0.822409717265726,0.822409717265726,1.2180776914598939
5,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,45,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,1.7064395325421908,1.7064395325421906,1.8075546248887986
6,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,46,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0.35844348483030386,1.1911901295964726,1.3889802004102272
7,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,48,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0.432500030842292,0.853707673116507,1.4005469954909298
8,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,48,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0.432500030842292,0.853707673116507,1.4005469954909298
9,2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,49,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,1.7653591795608734,1.7653591795608736,1.7902669840920826
10,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,50,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0.9516168933198454,1.0241914159519994,1.0822510340577227
11,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,54,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,1.771748893100298,1.8934375016635727,2.377459493509847
12,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,54,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,1.771748893100298,1.8934375016635727,2.377459493509847
13,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,86,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,1.7819865667975654,2.273115760737648,2.520826378559704
14,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,86,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,1.7819865667975654,2.273115760737648,2.520826378559704
15,2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",11, S PEORIA ST,91,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0.432500030842292,0.6259165294907297,1.1322078887981202
16,2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",17, W 95TH ST,94,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0.8452131933271306,0.9141879723842165,0.9358076374659612
17,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,96,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0.0,2007.0,5.0,29.0,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0.9682371350885783,1.284502416329942,1.4168348574134089
